Data	Open	High	Low	Close	Candle
18/05/2022 16:00	31505,45	31505,45	31490,07	31490,07	79
18/05/2022 15:55	31415,82	31512,77	31412,79	31505,09	78
18/05/2022 15:50	31421,46	31482,9	31405,05	31417,27	77
18/05/2022 15:45	31446,24	31466,07	31404,57	31417,08	76
18/05/2022 15:40	31507,94	31524,13	31424,75	31448,7	75
18/05/2022 15:35	31407,69	31531,58	31396,21	31507,72	74
18/05/2022 15:30	31406,36	31429,97	31393,95	31407,67	73
18/05/2022 15:25	31436,58	31441,19	31397,74	31407,46	72
18/05/2022 15:20	31494,19	31516,01	31432,12	31436,12	71
18/05/2022 15:15	31469,49	31516,46	31467,62	31495	70
18/05/2022 15:10	31488,38	31526,13	31471,89	31471,89	69
18/05/2022 15:05	31489,6	31532,51	31485,66	31489,12	68
18/05/2022 15:00	31494,12	31534,81	31483,16	31489,79	67
18/05/2022 14:55	31519,33	31549,17	31483,79	31500,29	66
18/05/2022 14:50	31542,91	31558,64	31510,35	31519,33	65
18/05/2022 14:45	31525,26	31553,35	31484,73	31545,82	64
18/05/2022 14:40	31543,14	31571,73	31513,72	31525,39	63
18/05/2022 14:35	31569,39	31569,39	31512,31	31543,12	62
18/05/2022 14:30	31640,48	31645,33	31560,6	31569,59	61
18/05/2022 14:25	31606,05	31641,6	31606,05	31640,07	60
18/05/2022 14:20	31607,38	31626,23	31582,49	31606,13	59
18/05/2022 14:15	31562,85	31616,6	31535,38	31608,01	58
18/05/2022 14:10	31594,41	31609,38	31557,43	31561,42	57
18/05/2022 14:05	31589,69	31596,82	31558,72	31591,26	56
18/05/2022 14:00	31572,66	31595,04	31564,19	31588,4	55
18/05/2022 13:55	31571,15	31582,3	31543,04	31572,03	54
18/05/2022 13:50	31575,98	31585,24	31550,46	31571,15	53
18/05/2022 13:45	31630,39	31635,39	31574,18	31576,61	52
18/05/2022 13:40	31716,78	31717,06	31615,82	31630,75	51
18/05/2022 13:35	31702,58	31716,44	31693,99	31716,4	50
18/05/2022 13:30	31690,54	31703,49	31671,57	31701,24	49
18/05/2022 13:25	31673,75	31694,73	31663,13	31691	48
18/05/2022 13:20	31673,11	31706,44	31670,17	31673,57	47
18/05/2022 13:15	31711,67	31713,88	31667,76	31673,12	46
18/05/2022 13:10	31739,86	31743,53	31702,29	31711,57	45
18/05/2022 13:05	31830,73	31830,73	31737,34	31741,31	44
18/05/2022 13:00	31883,05	31883,05	31830,1	31830,1	43
18/05/2022 12:55	31880,63	31888,9	31861,53	31883,78	42
18/05/2022 12:50	31860,95	31883,71	31858,34	31880,46	41
18/05/2022 12:45	31815,85	31860,86	31808,9	31860,86	40
18/05/2022 12:40	31848,18	31848,18	31811,74	31815,91	39
18/05/2022 12:35	31839,46	31863,09	31818,12	31848,22	38
18/05/2022 12:30	31806,91	31840,33	31791,19	31839,72	37
18/05/2022 12:25	31790,76	31819,24	31781,71	31809,63	36
18/05/2022 12:20	31848,21	31854,07	31788,25	31791,38	35
18/05/2022 12:15	31834,75	31883,97	31830,64	31848,14	34
18/05/2022 12:10	31826,84	31841,06	31801,95	31834,71	33
18/05/2022 12:05	31852,72	31852,98	31809,68	31820,25	32
18/05/2022 12:00	31862,06	31875,81	31844,2	31852,3	31
18/05/2022 11:55	31847,28	31878,91	31844,5	31862,58	30
18/05/2022 11:50	31916,54	31926,74	31847,5	31847,68	29
18/05/2022 11:45	31953,61	31954,9	31896,02	31916,51	28
18/05/2022 11:40	31924,47	31955,86	31915,93	31953,43	27
18/05/2022 11:35	31932	31961,67	31925,58	31925,58	26
18/05/2022 11:30	31898,72	31932,6	31865,14	31931,14	25
18/05/2022 11:25	31906,21	31937,04	31886,41	31898,51	24
18/05/2022 11:20	31955,27	31955,27	31904,83	31907,11	23
18/05/2022 11:15	32001,67	32002,85	31930,83	31955,21	22
18/05/2022 11:10	32021,07	32021,07	31987,77	32001,52	21
18/05/2022 11:05	32059,63	32064,68	32016,53	32021,37	20
18/05/2022 11:00	32117,96	32117,96	32055,11	32060,45	19
